Functional,BldgType,Foundation,LotShape,LandSlope,SaleCondition,RoofMatl,ScreenPorch,MSSubClass,GarageCars,Id,BedroomAbvGr,TotalBsmtSF,LotArea,OpenPorchSF,BsmtFullBath,WoodDeckSF,OverallCond,YrSold,GrLivArea,MoSold,TotRmsAbvGrd,PoolArea,YearBuilt,GarageArea,OverallQual,Fireplaces,SalePrice,EnclosedPorch,FullBath,HalfBath
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,2,3,1262,9600,0,0,298,8,2007,1262,5,6,0,1976,460,6,1,181500,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,3,3,920,11250,42,1,0,5,2008,1786,9,6,0,2001,608,7,1,223500,0,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,60,2,8,3,1107,10382,204,1,235,6,2009,2090,11,7,0,1973,484,7,2,200000,228,2,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,2,17,2,1004,11241,0,1,0,7,2010,1004,3,5,0,1970,480,6,1,149000,0,1,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,1,25,3,1060,8246,90,1,406,8,2010,1060,5,6,0,1968,270,5,1,154000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,27,3,900,7200,32,0,222,7,2010,900,5,5,0,1951,576,5,0,134800,0,1,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,3,28,3,1704,11478,50,1,0,5,2010,1704,5,7,0,2007,772,8,1,306000,0,2,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,85,2,43,2,840,9180,0,1,240,7,2007,884,12,5,0,1983,504,5,0,144000,0,1,0
Typ,1Fam,PConc,IR2,Gtl,Normal,CompShg,0,60,2,51,3,794,13869,75,0,0,6,2007,1470,7,6,0,1997,388,6,0,177000,0,2,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,WdShngl,0,20,3,54,0,1842,50271,72,2,857,5,2006,1842,11,5,0,1981,894,9,1,385000,0,0,1
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,58,3,860,11645,70,0,0,5,2006,1720,8,7,0,2004,565,7,0,196500,0,2,1
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,30,1,69,2,747,4608,0,0,0,6,2010,747,6,4,0,1945,220,4,0,80000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,72,2,845,7599,0,1,0,6,2007,845,6,4,0,1982,360,4,0,129500,0,1,0
Typ,Duplex,CBlock,Reg,Gtl,Normal,CompShg,0,90,0,79,4,1768,10778,0,0,0,5,2010,1768,4,8,0,1968,0,4,0,136500,0,2,0
Typ,1Fam,PConc,Reg,Gtl,Normal,CompShg,0,20,0,90,3,990,8070,0,1,0,5,2007,990,8,5,0,1994,0,4,0,123600,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,2,92,2,1235,8500,0,0,0,3,2006,1235,12,6,0,1961,480,5,0,98600,0,1,0
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,0,100,3,950,9320,0,1,352,5,2010,1225,1,6,0,1959,0,4,0,128950,0,1,1
Typ,1Fam,PConc,Reg,Gtl,Partial,CompShg,0,20,2,118,2,1125,8536,64,0,80,5,2007,1125,4,5,0,2006,430,5,0,155000,0,1,1
Typ,1Fam,CBlock,IR1,Gtl,Normal,CompShg,0,20,2,125,3,1362,17043,0,0,192,5,2009,1586,1,7,0,1979,435,6,1,181000,0,2,0
Typ,TwnhsE,CBlock,IR1,Gtl,Normal,CompShg,0,120,2,127,2,1078,4928,205,0,0,5,2007,958,2,5,0,1976,440,6,1,128000,0,2,0
Typ,1Fam,BrkTil,IR1,Gtl,Normal,CompShg,0,45,0,128,3,672,4388,0,0,0,7,2007,840,6,5,0,1930,0,5,1,87000,0,1,0
Typ,1Fam,CBlock,Reg,Gtl,Abnorml,CompShg,0,20,2,130,3,1008,8973,80,0,0,7,2006,1053,7,6,0,1958,750,5,0,150000,0,1,1
Maj1,Twnhs,PConc,Reg,Gtl,Normal,CompShg,0,160,2,146,3,970,2522,40,0,0,5,2006,1709,4,7,0,2004,380,6,0,130000,0,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,60,2,148,3,884,9505,48,0,144,5,2010,2035,5,8,0,2001,434,7,1,222500,0,2,1
Typ,1Fam,BrkTil,Reg,Gtl,Family,CompShg,0,30,1,155,4,1200,11340,0,0,0,5,2006,1200,3,7,0,1923,312,6,0,125000,228,1,0
Typ,1Fam,CBlock,Reg,Gtl,Normal,CompShg,0,20,2,176,4,1202,12615,29,1,0,7,2007,2158,6,7,0,1950,576,6,1,243000,39,2,0
Typ,1Fam,PConc,IR1,Gtl,Normal,CompShg,0,50,2,185,3,504,7438,0,0,104,8,2006,1252,6,5,0,1908,576,5,0,127000,0,1,0
