MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Lot_Config,Land_Slope,Condition_1,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Fence,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Price,Longitude,Latitude
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,141,31770,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Average,1960,1960,Hip,BrkFace,Plywood,Stone,112,Typical,CBlock,Good,Gd,BLQ,2,Unf,0,441,1080,Fair,Y,SBrkr,1656,0,1656,1,0,1,0,3,1,7,Typ,2,Attchd,Fin,2,528,Typical,Partial_Pavement,210,62,0,0,0,0,No_Fence,0,5,2010,WD,215000,-93.619754,42.054035
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,81,14267,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Above_Average,1958,1958,Hip,Wd Sdng,Wd Sdng,BrkFace,108,Typical,CBlock,Typical,No,ALQ,1,Unf,0,406,1329,Typical,Y,SBrkr,1329,0,1329,0,0,1,1,3,1,6,Typ,0,Attchd,Unf,1,312,Typical,Paved,393,36,0,0,0,0,No_Fence,12500,6,2010,WD,172000,-93.6193873,42.052659
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,93,11160,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Average,1968,1968,Hip,BrkFace,BrkFace,None,0,Typical,CBlock,Typical,No,ALQ,1,Unf,0,1045,2110,Excellent,Y,SBrkr,2110,0,2110,1,0,2,1,3,1,8,Typ,2,Attchd,Fin,2,522,Typical,Paved,0,0,0,0,0,0,No_Fence,0,4,2010,WD,244000,-93.61732,42.051245
Two_Story_1946_and_Newer,Residential_Low_Density,74,13830,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,1997,1998,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,137,928,Good,Y,SBrkr,928,701,1629,0,0,2,1,3,1,6,Typ,1,Attchd,Fin,2,482,Typical,Paved,212,34,0,0,0,0,Minimum_Privacy,0,3,2010,WD,189900,-93.638933,42.060899
One_Story_PUD_1946_and_Newer,Residential_Low_Density,41,4920,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,2001,2001,Gable,CemntBd,CmentBd,None,0,Typical,PConc,Typical,Mn,GLQ,3,Unf,0,722,1338,Excellent,Y,SBrkr,1338,0,1338,1,0,2,0,2,1,6,Typ,0,Attchd,Fin,2,582,Typical,Paved,0,0,170,0,0,0,No_Fence,0,4,2010,WD,213500,-93.633792,42.062978
One_Story_PUD_1946_and_Newer,Residential_Low_Density,43,5005,Pave,No_Alley_Access,Slightly_Irregular,HLS,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1992,1992,Gable,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,ALQ,1,Unf,0,1017,1280,Excellent,Y,SBrkr,1280,0,1280,0,0,2,0,2,1,5,Typ,0,Attchd,RFn,2,506,Typical,Paved,0,82,0,0,144,0,No_Fence,0,1,2010,WD,191500,-93.633826,42.060728
One_Story_PUD_1946_and_Newer,Residential_Low_Density,39,5389,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,TwnhsE,One_Story,Average,1995,1996,Gable,CemntBd,CmentBd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,415,1595,Excellent,Y,SBrkr,1616,0,1616,1,0,2,0,2,1,5,Typ,1,Attchd,RFn,2,608,Typical,Paved,237,152,0,0,0,0,No_Fence,0,3,2010,WD,236500,-93.632852,42.06112
Two_Story_1946_and_Newer,Residential_Low_Density,60,7500,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,1999,1999,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,994,994,Good,Y,SBrkr,1028,776,1804,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,442,Typical,Paved,140,60,0,0,0,0,No_Fence,0,6,2010,WD,189000,-93.639068,42.059193
Two_Story_1946_and_Newer,Residential_Low_Density,75,10000,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Corner,Gtl,Norm,OneFam,Two_Story,Average,1993,1994,Gable,HdBoard,HdBoard,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,763,763,Good,Y,SBrkr,763,892,1655,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,440,Typical,Paved,157,84,0,0,0,0,No_Fence,0,4,2010,WD,175900,-93.636947,42.05848
Two_Story_1946_and_Newer,Residential_Low_Density,63,8402,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,1998,1998,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,Unf,7,Unf,0,789,789,Good,Y,SBrkr,789,676,1465,0,0,2,1,3,1,7,Typ,1,Attchd,Fin,2,393,Typical,Paved,0,75,0,0,0,0,No_Fence,0,5,2010,WD,180400,-93.638647,42.058151
Two_Story_1946_and_Newer,Residential_Low_Density,47,53504,Pave,No_Alley_Access,Moderately_Irregular,HLS,CulDSac,Mod,Norm,OneFam,Two_Story,Average,2003,2003,Hip,CemntBd,Wd Shng,BrkFace,603,Typical,PConc,Typical,Gd,ALQ,1,Unf,0,234,1650,Excellent,Y,SBrkr,1690,1589,3279,1,0,3,1,4,1,12,Mod,1,BuiltIn,Fin,3,841,Typical,Paved,503,36,0,0,210,0,No_Fence,0,6,2010,WD,538000,-93.62655,42.061239
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140,19138,Pave,No_Alley_Access,Regular,Lvl,Corner,Gtl,Norm,OneFam,One_Story,Average,1951,1951,Gable,VinylSd,VinylSd,None,0,Typical,CBlock,Typical,No,LwQ,4,Unf,0,744,864,Excellent,Y,SBrkr,864,0,864,0,0,1,0,2,1,4,Typ,0,Detchd,Unf,2,400,Typical,Paved,0,0,0,0,0,0,No_Fence,0,6,2010,WD,141000,-93.622971,42.056673
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,Inside,Gtl,Norm,OneFam,One_Story,Above_Average,1977,1977,Hip,Plywood,Plywood,BrkFace,480,Typical,CBlock,Typical,No,BLQ,2,Unf,0,1139,1844,Excellent,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,7,Typ,1,Attchd,RFn,2,546,Typical,Paved,0,122,0,0,0,0,Minimum_Privacy,0,1,2010,COD,190000,-93.633962,42.050346
Two_Story_1946_and_Newer,Floating_Village_Residential,0,7500,Pave,No_Alley_Access,Regular,Lvl,Inside,Gtl,Norm,OneFam,Two_Story,Average,2000,2000,Gable,VinylSd,VinylSd,None,0,Typical,PConc,Typical,No,GLQ,3,Unf,0,281,814,Excellent,Y,SBrkr,814,860,1674,1,0,2,1,3,1,7,Typ,0,Attchd,RFn,2,663,Typical,Paved,0,96,0,0,0,0,No_Fence,0,1,2010,WD,216000,-93.639366,42.049297
One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11241,Pave,No_Alley_Access,Slightly_Irregular,Lvl,CulDSac,Gtl,Norm,OneFam,One_Story,Good,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180,Typical,CBlock,Typical,No,ALQ,1,Unf,0,426,1004,Excellent,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,5,Typ,1,Attchd,Fin,2,480,Typical,Paved,0,0,0,0,0,0,No_Fence,700,3,2010,WD,149000,-93.626231,42.055147
