"","edibility","cap_shape","cap_surface","cap_color","bruises","odor","gill_attachement","gill_spacing","gill_size","gill_color","stalk_shape","stalk_root","stalk_surface_above_ring","stalk_surface_below_ring","stalk_color_above_ring","stalk_color_below_ring","veil_type","veil_color","ring_number","ring_type","spore_print_color","population","habitat"
"1","poisonous","convex","scaly","brown","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","urban"
"2","edible","convex","scaly","yellow","yes","almond","free","close","broad","black","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"3","edible","bell","scaly","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","meadows"
"4","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","urban"
"5","edible","convex","scaly","gray","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"6","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","grasses"
"7","edible","bell","scaly","white","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","numerous","meadows"
"8","edible","bell","smooth","white","yes","anise","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","meadows"
"9","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","pink","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","several","grasses"
"10","edible","bell","scaly","yellow","yes","almond","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"11","edible","convex","smooth","yellow","yes","anise","free","close","broad","gray","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","numerous","grasses"
"12","edible","convex","smooth","yellow","yes","almond","free","close","broad","brown","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","meadows"
"13","edible","bell","scaly","yellow","yes","almond","free","close","broad","white","enlarging","club","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","grasses"
"14","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","several","urban"
"15","edible","convex","fibrous","brown","no","none","free","crowded","broad","brown","tapering","equal","smooth","fibrous","purple","purple","partial","white","one","evanescent","black","abundant","grasses"
"16","edible","sunken","fibrous","gray","no","none","free","close","narrow","black","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","solitary","urban"
"17","edible","flat","fibrous","white","no","none","free","crowded","broad","black","tapering","equal","smooth","smooth","purple","purple","partial","white","one","evanescent","brown","abundant","grasses"
"18","poisonous","convex","scaly","brown","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","black","scattered","grasses"
"19","poisonous","convex","smooth","white","yes","pungent","free","close","narrow","brown","enlarging","equal","smooth","smooth","purple","purple","partial","white","one","pendant","brown","scattered","urban"
